y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
2.995,3.0,2.25,1400.0,,2.0,A0,0,3,8.0,1400,0,2180,9248,31,-1
2.609,4.0,2.75,2475.0,,2.0,A0,0,3,7.0,2475,0,2475,4000,1,-1
2.92,3.0,1.0,810.0,,1.0,A0,0,3,7.0,810,0,1820,7589,47,-1
6.15,5.0,3.5,2690.0,,2.0,A0,2,3,8.0,1930,760,2080,4900,96,31
3.435,2.0,1.0,790.0,5800.0,1.0,A0,0,3,6.0,790,0,1460,5800,72,-1
5.26,3.0,1.75,1330.0,,1.0,A0,0,3,8.0,1330,0,2600,7350,57,13
4.24,4.0,2.5,1970.0,2601.0,2.0,A0,0,3,7.0,1440,530,1760,3025,16,-1
5.53,5.0,2.75,2600.0,8160.0,2.0,A0,0,3,8.0,2600,0,1600,8160,0,-1
3.65,3.0,2.25,1760.0,,2.0,A0,0,3,,1330,430,1150,4575,32,-1
2.07,3.0,2.5,1610.0,6000.0,2.0,A0,0,4,7.0,1610,0,1570,6000,22,-1
2.385,5.0,3.0,2240.0,,1.0,A0,0,3,,2240,0,1780,43400,30,-1
4.93,3.0,1.75,1930.0,,1.0,A0,2,3,7.0,1300,630,2860,208652,35,-1
6.125,2.0,1.0,1040.0,,1.0,A0,0,4,6.0,1040,0,1640,7200,60,-1
14.1,4.0,3.25,3730.0,,2.0,A0,0,3,10.0,2810,920,2490,7200,9,-1
2.7,2.0,1.5,1180.0,,2.0,A0,0,3,7.0,990,190,1170,1400,10,-1
2.03,5.0,1.5,1820.0,,1.0,A0,0,5,7.0,1090,730,1820,8712,55,-1
1.222,3.0,1.0,1140.0,,1.0,A0,0,3,,990,150,1300,8775,73,-1
2.35,3.0,1.0,1990.0,,1.0,A0,0,3,7.0,1990,0,1320,7245,43,-1
2.27,4.0,2.75,2030.0,9120.0,1.0,A0,0,4,7.0,2030,0,1790,7627,27,-1
17.75,5.0,2.25,2800.0,,2.0,A1,4,3,9.0,2800,0,3220,9156,52,14
6.0,3.0,3.25,1720.0,,2.0,A0,0,3,8.0,1030,690,1720,1520,11,-1
